Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Candelária (RS);(RS);Candelária;#N/D;0,674;0,699;0,842;0,521
Candiba (BA);(BA);Candiba;290660;0,591;0,578;0,743;0,481
Cândido de Abreu (PR);(PR);Cândido de Abreu;#N/D;0,629;0,643;0,783;0,494
Cândido Godói (RS);(RS);Cândido Godói;#N/D;0,728;0,72;0,853;0,627
Cândido Mendes (MA);(MA);Cândido Mendes;#N/D;0,561;0,52;0,745;0,456
Cândido Mota (SP);(SP);Cândido Mota;#N/D;0,747;0,701;0,845;0,704
Cândido Rodrigues (SP);(SP);Cândido Rodrigues;#N/D;0,789;0,747;0,863;0,762
Cândido Sales (BA);(BA);Cândido Sales;#N/D;0,601;0,565;0,798;0,482
Candiota (RS);(RS);Candiota;#N/D;0,698;0,704;0,86;0,562
Candói (PR);(PR);Candói;#N/D;0,635;0,655;0,778;0,503
Canela (RS);(RS);Canela;430440;0,748;0,738;0,849;0,667
Canelinha (SC);(SC);Canelinha;420370;0,697;0,723;0,865;0,542
Canguaretama (RN);(RN);Canguaretama;240220;0,579;0,557;0,718;0,486
Canguçu (RS);(RS);Canguçu;#N/D;0,65;0,683;0,819;0,491
Canhoba (SE);(SE);Canhoba;280110;0,569;0,553;0,722;0,462
Canhotinho (PE);(PE);Canhotinho;260370;0,541;0,543;0,725;0,403
Canindé (CE);(CE);Canindé;#N/D;0,612;0,571;0,765;0,526
Canindé de São Francisco (SE);(SE);Canindé de São Francisco;#N/D;0,567;0,566;0,741;0,435
Canitar (SP);(SP);Canitar;351015;0,68;0,658;0,791;0,605
Canoas (RS);(RS);Canoas;430460;0,75;0,768;0,864;0,636
Canoinhas (SC);(SC);Canoinhas;420380;0,757;0,717;0,874;0,692
Cansanção (BA);(BA);Cansanção;#N/D;0,557;0,53;0,745;0,438
Cantagalo (MG);(MG);Cantagalo;311205;0,631;0,598;0,816;0,515
Cantagalo (PR);(PR);Cantagalo;410445;0,635;0,638;0,768;0,522
Cantagalo (RJ);(RJ);Cantagalo;330110;0,709;0,705;0,822;0,614
Cantanhede (MA);(MA);Cantanhede;210270;0,565;0,497;0,774;0,468
Cantá (RR);(RR);Cantá;#N/D;0,619;0,581;0,803;0,509
Canto do Buriti (PI);(PI);Canto do Buriti;#N/D;0,576;0,571;0,724;0,462
Canudos (BA);(BA);Canudos;#N/D;0,562;0,554;0,707;0,453
Canudos do Vale (RS);(RS);Canudos do Vale;430461;0,713;0,751;0,84;0,574
Canutama (AM);(AM);Canutama;130090;0,53;0,522;0,752;0,379
Capanema (PA);(PA);Capanema;#N/D;0,655;0,61;0,794;0,58
Capanema (PR);(PR);Capanema;410450;0,706;0,719;0,801;0,611
Capão Alto (SC);(SC);Capão Alto;#N/D;0,654;0,68;0,796;0,516
Capão Bonito do Sul (RS);(RS);Capão Bonito do Sul;#N/D;0,637;0,654;0,779;0,507
Capão Bonito (SP);(SP);Capão Bonito;#N/D;0,721;0,675;0,826;0,671
Capão da Canoa (RS);(RS);Capão da Canoa;#N/D;0,743;0,756;0,852;0,637
Capão do Cipó (RS);(RS);Capão do Cipó;#N/D;0,672;0,639;0,86;0,552
Capão do Leão (RS);(RS);Capão do Leão;#N/D;0,637;0,662;0,814;0,48
Caparaó (MG);(MG);Caparaó;#N/D;0,624;0,614;0,836;0,473
Capela (AL);(AL);Capela;270170;0,573;0,554;0,743;0,456
Capela de Santana (RS);(RS);Capela de Santana;430468;0,661;0,675;0,816;0,525
Capela do Alto Alegre (BA);(BA);Capela do Alto Alegre;290685;0,599;0,582;0,77;0,48
Capela do Alto (SP);(SP);Capela do Alto;351030;0,699;0,673;0,823;0,617
Capela Nova (MG);(MG);Capela Nova;#N/D;0,648;0,602;0,797;0,568
Capela (SE);(SE);Capela;280130;0,615;0,596;0,766;0,51
Capelinha (MG);(MG);Capelinha;311230;0,653;0,641;0,824;0,527
Capetinga (MG);(MG);Capetinga;#N/D;0,675;0,68;0,848;0,533
Capim Branco (MG);(MG);Capim Branco;311250;0,695;0,664;0,837;0,604
Capim Grosso (BA);(BA);Capim Grosso;#N/D;0,621;0,62;0,752;0,514
Capim (PB);(PB);Capim;250403;0,533;0,52;0,728;0,4
Capinópolis (MG);(MG);Capinópolis;#N/D;0,723;0,747;0,841;0,601
Capinzal do Norte (MA);(MA);Capinzal do Norte;#N/D;0,537;0,517;0,698;0,43
Capinzal (SC);(SC);Capinzal;420390;0,752;0,742;0,869;0,659
Capistrano (CE);(CE);Capistrano;230290;0,611;0,527;0,73;0,593
Capitão Andrade (MG);(MG);Capitão Andrade;#N/D;0,624;0,63;0,805;0,478
Capitão de Campos (PI);(PI);Capitão de Campos;#N/D;0,583;0,552;0,773;0,465
Capitão Enéas (MG);(MG);Capitão Enéas;#N/D;0,639;0,573;0,806;0,565
Capitão Gervásio Oliveira (PI);(PI);Capitão Gervásio Oliveira;#N/D;0,553;0,503;0,725;0,464
Capitão Leônidas Marques (PR);(PR);Capitão Leônidas Marques;#N/D;0,716;0,712;0,829;0,623
Capitão Poço (PA);(PA);Capitão Poço;#N/D;0,548;0,573;0,747;0,385
Capitão (RS);(RS);Capitão;#N/D;0,746;0,747;0,842;0,661
Capitólio (MG);(MG);Capitólio;#N/D;0,71;0,709;0,825;0,612
Capivari de Baixo (SC);(SC);Capivari de Baixo;#N/D;0,767;0,724;0,87;0,716
Capivari do Sul (RS);(RS);Capivari do Sul;430467;0,766;0,805;0,836;0,668
Capivari (SP);(SP);Capivari;351040;0,75;0,744;0,848;0,669
Capixaba (AC);(AC);Capixaba;#N/D;0,575;0,601;0,794;0,398
Capoeiras (PE);(PE);Capoeiras;#N/D;0,549;0,529;0,746;0,419
Caputira (MG);(MG);Caputira;#N/D;0,615;0,609;0,809;0,471
Caraá (RS);(RS);Caraá;#N/D;0,652;0,661;0,83;0,505
Caracaraí (RR);(RR);Caracaraí;#N/D;0,624;0,601;0,78;0,518
Caracol (MS);(MS);Caracol;500280;0,647;0,628;0,826;0,522
Caracol (PI);(PI);Caracol;#N/D;0,552;0,533;0,771;0,409
Caraguatatuba (SP);(SP);Caraguatatuba;351050;0,759;0,735;0,845;0,705
Caraíbas (BA);(BA);Caraíbas;#N/D;0,555;0,57;0,739;0,405
Caraí (MG);(MG);Caraí;#N/D;0,558;0,549;0,781;0,405
Carambeí (PR);(PR);Carambeí;#N/D;0,728;0,721;0,836;0,64
Caranaíba (MG);(MG);Caranaíba;#N/D;0,634;0,593;0,807;0,533
Carandaí (MG);(MG);Carandaí;#N/D;0,697;0,663;0,821;0,622
Carangola (MG);(MG);Carangola;311330;0,695;0,699;0,837;0,573
Carapebus (RJ);(RJ);Carapebus;#N/D;0,713;0,699;0,805;0,644
Carapicuíba (SP);(SP);Carapicuíba;#N/D;0,749;0,721;0,842;0,693
Caratinga (MG);(MG);Caratinga;311340;0,706;0,697;0,836;0,603
Carauari (AM);(AM);Carauari;130100;0,549;0,534;0,745;0,416
Caraúbas do Piauí (PI);(PI);Caraúbas do Piauí;#N/D;0,505;0,48;0,775;0,347
Caraúbas (PB);(PB);Caraúbas;#N/D;0,585;0,58;0,71;0,485
Caraúbas (RN);(RN);Caraúbas;#N/D;0,638;0,594;0,786;0,556
Caravelas (BA);(BA);Caravelas;290690;0,616;0,626;0,791;0,473
Carazinho (RS);(RS);Carazinho;#N/D;0,766;0,756;0,84;0,707
Carbonita (MG);(MG);Carbonita;311350;0,638;0,617;0,796;0,529
Cardeal da Silva (BA);(BA);Cardeal da Silva;290700;0,552;0,523;0,735;0,437
Cardoso Moreira (RJ);(RJ);Cardoso Moreira;330115;0,648;0,653;0,782;0,534
Cardoso (SP);(SP);Cardoso;351070;0,722;0,695;0,853;0,636
Careaçu (MG);(MG);Careaçu;#N/D;0,683;0,666;0,824;0,581
Careiro (AM);(AM);Careiro;130110;0,557;0,515;0,779;0,431
Careiro da Várzea (AM);(AM);Careiro da Várzea;#N/D;0,568;0,523;0,779;0,45
Cariacica (ES);(ES);Cariacica;320130;0,718;0,699;0,844;0,628
Caridade (CE);(CE);Caridade;230300;0,592;0,528;0,779;0,505
Caridade do Piauí (PI);(PI);Caridade do Piauí;#N/D;0,541;0,52;0,715;0,426
Carinhanha (BA);(BA);Carinhanha;290710;0,576;0,525;0,763;0,477
Carira (SE);(SE);Carira;#N/D;0,588;0,581;0,791;0,442
Cariré (CE);(CE);Cariré;#N/D;0,596;0,537;0,749;0,526
Caririaçu (CE);(CE);Caririaçu;#N/D;0,578;0,549;0,73;0,483
Cariri do Tocantins (TO);(TO);Cariri do Tocantins;170386;0,662;0,639;0,826;0,549
Cariús (CE);(CE);Cariús;#N/D;0,597;0,546;0,751;0,519
Carlinda (MT);(MT);Carlinda;510279;0,665;0,656;0,809;0,553
Carlópolis (PR);(PR);Carlópolis;#N/D;0,713;0,696;0,832;0,625
Carlos Barbosa (RS);(RS);Carlos Barbosa;430480;0,796;0,835;0,835;0,724
Carlos Chagas (MG);(MG);Carlos Chagas;311370;0,648;0,641;0,826;0,513
Carlos Gomes (RS);(RS);Carlos Gomes;430485;0,739;0,732;0,886;0,622
Carmésia (MG);(MG);Carmésia;#N/D;0,65;0,631;0,805;0,54
Carmo da Cachoeira (MG);(MG);Carmo da Cachoeira;311390;0,655;0,672;0,801;0,523
Carmo da Mata (MG);(MG);Carmo da Mata;311400;0,689;0,68;0,84;0,572
Carmo de Minas (MG);(MG);Carmo de Minas;311410;0,682;0,668;0,845;0,562
Carmo do Cajuru (MG);(MG);Carmo do Cajuru;311420;0,71;0,695;0,853;0,605
Carmo do Paranaíba (MG);(MG);Carmo do Paranaíba;#N/D;0,705;0,713;0,861;0,571
Carmo do Rio Claro (MG);(MG);Carmo do Rio Claro;311440;0,733;0,715;0,85;0,649
Carmo do Rio Verde (GO);(GO);Carmo do Rio Verde;520500;0,713;0,677;0,824;0,649
Carmolândia (TO);(TO);Carmolândia;#N/D;0,64;0,621;0,81;0,521
Carmópolis de Minas (MG);(MG);Carmópolis de Minas;#N/D;0,7;0,694;0,85;0,582
Carmópolis (SE);(SE);Carmópolis;#N/D;0,643;0,623;0,783;0,546
Carmo (RJ);(RJ);Carmo;330120;0,696;0,683;0,813;0,608
Carnaíba (PE);(PE);Carnaíba;#N/D;0,583;0,54;0,727;0,505
Carnaúba dos Dantas (RN);(RN);Carnaúba dos Dantas;#N/D;0,659;0,624;0,796;0,577
Carnaubais (RN);(RN);Carnaubais;240250;0,589;0,583;0,738;0,476
Carnaubal (CE);(CE);Carnaubal;230340;0,593;0,536;0,76;0,513
Carnaubeira da Penha (PE);(PE);Carnaubeira da Penha;#N/D;0,573;0,491;0,755;0,508
Carneirinho (MG);(MG);Carneirinho;311455;0,741;0,749;0,873;0,622
Carneiros (AL);(AL);Carneiros;#N/D;0,526;0,517;0,709;0,398
Caroebe (RR);(RR);Caroebe;140023;0,639;0,6;0,791;0,549
Carolina (MA);(MA);Carolina;210280;0,634;0,6;0,802;0,529
Carpina (PE);(PE);Carpina;260400;0,68;0,63;0,806;0,619
Carrancas (MG);(MG);Carrancas;311460;0,725;0,687;0,877;0,632
Carrapateira (PB);(PB);Carrapateira;250410;0,603;0,529;0,765;0,543
Carrasco Bonito (TO);(TO);Carrasco Bonito;#N/D;0,594;0,543;0,728;0,531
Caruaru (PE);(PE);Caruaru;260410;0,677;0,681;0,799;0,569
Carutapera (MA);(MA);Carutapera;210290;0,574;0,533;0,747;0,476
Carvalhópolis (MG);(MG);Carvalhópolis;#N/D;0,724;0,688;0,85;0,648
Carvalhos (MG);(MG);Carvalhos;311480;0,646;0,667;0,82;0,492
Casa Branca (SP);(SP);Casa Branca;351080;0,73;0,727;0,835;0,64
Casa Grande (MG);(MG);Casa Grande;#N/D;0,652;0,608;0,823;0,555
Casa Nova (BA);(BA);Casa Nova;290720;0,57;0,577;0,736;0,435
Cascalho Rico (MG);(MG);Cascalho Rico;311500;0,721;0,734;0,845;0,604
Casca (RS);(RS);Casca;#N/D;0,785;0,778;0,847;0,733
Cascavel (CE);(CE);Cascavel;230350;0,646;0,587;0,793;0,578
Cascavel (PR);(PR);Cascavel;410480;0,782;0,776;0,846;0,728
Caseara (TO);(TO);Caseara;#N/D;0,658;0,647;0,825;0,534
Caseiros (RS);(RS);Caseiros;#N/D;0,703;0,696;0,833;0,6
Casimiro de Abreu (RJ);(RJ);Casimiro de Abreu;330130;0,726;0,734;0,811;0,642
Casinhas (PE);(PE);Casinhas;260415;0,567;0,518;0,721;0,489
Casserengue (PB);(PB);Casserengue;250415;0,514;0,492;0,73;0,379
Cássia dos Coqueiros (SP);(SP);Cássia dos Coqueiros;#N/D;0,734;0,68;0,864;0,673
Cássia (MG);(MG);Cássia;#N/D;0,704;0,723;0,837;0,576
Cassilândia (MS);(MS);Cassilândia;#N/D;0,727;0,756;0,811;0,627
Castanhal (PA);(PA);Castanhal;150240;0,673;0,654;0,8;0,582
Castanheira (MT);(MT);Castanheira;510285;0,665;0,671;0,8;0,547
Castanheiras (RO);(RO);Castanheiras;110090;0,658;0,65;0,803;0,547
Castelândia (GO);(GO);Castelândia;#N/D;0,701;0,724;0,823;0,578
Castelo do Piauí (PI);(PI);Castelo do Piauí;#N/D;0,587;0,566;0,754;0,473
Castelo (ES);(ES);Castelo;320140;0,726;0,703;0,852;0,639
Castilho (SP);(SP);Castilho;351100;0,731;0,688;0,827;0,686
Castro Alves (BA);(BA);Castro Alves;#N/D;0,613;0,591;0,774;0,504
Castro (PR);(PR);Castro;410490;0,703;0,704;0,823;0,6
Cataguases (MG);(MG);Cataguases;311530;0,751;0,718;0,861;0,685
Catalão (GO);(GO);Catalão;#N/D;0,766;0,769;0,819;0,715
Catanduva (SP);(SP);Catanduva;351110;0,785;0,767;0,853;0,74
Catanduvas (PR);(PR);Catanduvas;#N/D;0,678;0,677;0,805;0,573
Catanduvas (SC);(SC);Catanduvas;420400;0,714;0,723;0,806;0,625
Catarina (CE);(CE);Catarina;230360;0,618;0,551;0,764;0,56
Catas Altas da Noruega (MG);(MG);Catas Altas da Noruega;#N/D;0,6;0,588;0,799;0,46
Catas Altas (MG);(MG);Catas Altas;311535;0,684;0,665;0,828;0,582
Catende (PE);(PE);Catende;#N/D;0,609;0,578;0,76;0,515
Catiguá (SP);(SP);Catiguá;#N/D;0,751;0,734;0,852;0,676
Catingueira (PB);(PB);Catingueira;#N/D;0,574;0,553;0,753;0,455
Catolândia (BA);(BA);Catolândia;#N/D;0,582;0,554;0,786;0,452
Catolé do Rocha (PB);(PB);Catolé do Rocha;#N/D;0,64;0,617;0,787;0,539
Catu (BA);(BA);Catu;290750;0,677;0,66;0,814;0,578
Catuípe (RS);(RS);Catuípe;#N/D;0,739;0,763;0,842;0,627
Catuji (MG);(MG);Catuji;311545;0,54;0,534;0,771;0,382
Catunda (CE);(CE);Catunda;230365;0,609;0,537;0,717;0,587
Caturaí (GO);(GO);Caturaí;#N/D;0,664;0,665;0,815;0,54
Caturama (BA);(BA);Caturama;290755;0,571;0,543;0,77;0,446
Caturité (PB);(PB);Caturité;#N/D;0,623;0,617;0,782;0,502
Catuti (MG);(MG);Catuti;311547;0,621;0,563;0,773;0,549
Caucaia (CE);(CE);Caucaia;230370;0,682;0,62;0,808;0,632
Cavalcante (GO);(GO);Cavalcante;520530;0,584;0,595;0,808;0,415
Caxambu do Sul (SC);(SC);Caxambu do Sul;#N/D;0,691;0,725;0,87;0,523
Caxambu (MG);(MG);Caxambu;311550;0,743;0,77;0,848;0,629
Caxias do Sul (RS);(RS);Caxias do Sul;430510;0,782;0,812;0,86;0,686
Caxias (MA);(MA);Caxias;210300;0,624;0,595;0,753;0,543
Caxingó (PI);(PI);Caxingó;#N/D;0,488;0,498;0,708;0,329
Ceará-Mirim (RN);(RN);Ceará-Mirim;#N/D;0,616;0,599;0,774;0,505
Cedral (MA);(MA);Cedral;#N/D;0,605;0,52;0,748;0,57
Cedral (SP);(SP);Cedral;351130;0,766;0,749;0,872;0,689
Cedro (CE);(CE);Cedro;230380;0,627;0,592;0,753;0,553
Cedro de São João (SE);(SE);Cedro de São João;#N/D;0,623;0,608;0,731;0,543
Cedro do Abaeté (MG);(MG);Cedro do Abaeté;#N/D;0,678;0,641;0,801;0,608
Cedro (PE);(PE);Cedro;260430;0,615;0,565;0,717;0,573
Celso Ramos (SC);(SC);Celso Ramos;#N/D;0,719;0,651;0,826;0,692
Centenário do Sul (PR);(PR);Centenário do Sul;#N/D;0,668;0,686;0,791;0,549
Centenário (RS);(RS);Centenário;#N/D;0,701;0,707;0,856;0,569
Centenário (TO);(TO);Centenário;#N/D;0,569;0,571;0,7;0,461
Central (BA);(BA);Central;290760;0,596;0,54;0,728;0,538
Central de Minas (MG);(MG);Central de Minas;311570;0,665;0,663;0,823;0,54
Central do Maranhão (MA);(MA);Central do Maranhão;#N/D;0,585;0,503;0,713;0,557
Centralina (MG);(MG);Centralina;311580;0,678;0,654;0,853;0,558
Centro do Guilherme (MA);(MA);Centro do Guilherme;#N/D;0,542;0,51;0,707;0,442
Centro Novo do Maranhão (MA);(MA);Centro Novo do Maranhão;#N/D;0,518;0,508;0,717;0,382
Cerejeiras (RO);(RO);Cerejeiras;110005;0,692;0,688;0,799;0,602
Ceres (GO);(GO);Ceres;520540;0,775;0,753;0,842;0,733
Cerqueira César (SP);(SP);Cerqueira César;#N/D;0,729;0,71;0,821;0,666
Cerquilho (SP);(SP);Cerquilho;351150;0,782;0,758;0,854;0,739
Cerrito (RS);(RS);Cerrito;#N/D;0,649;0,657;0,824;0,504
Cerro Azul (PR);(PR);Cerro Azul;410520;0,573;0,604;0,797;0,391
Cerro Branco (RS);(RS);Cerro Branco;430513;0,661;0,671;0,816;0,527
Cerro Corá (RN);(RN);Cerro Corá;#N/D;0,607;0,573;0,754;0,518
Cerro Grande do Sul (RS);(RS);Cerro Grande do Sul;#N/D;0,66;0,673;0,855;0,499
Cerro Grande (RS);(RS);Cerro Grande;#N/D;0,674;0,676;0,803;0,563
Cerro Largo (RS);(RS);Cerro Largo;430520;0,764;0,752;0,849;0,698
Cerro Negro (SC);(SC);Cerro Negro;#N/D;0,621;0,634;0,829;0,455
Cesário Lange (SP);(SP);Cesário Lange;#N/D;0,706;0,715;0,804;0,611
Céu Azul (PR);(PR);Céu Azul;#N/D;0,732;0,732;0,812;0,659
Cezarina (GO);(GO);Cezarina;520545;0,711;0,684;0,807;0,652
Chácara (MG);(MG);Chácara;#N/D;0,664;0,65;0,878;0,512
Chã de Alegria (PE);(PE);Chã de Alegria;#N/D;0,604;0,546;0,762;0,529
Chã Grande (PE);(PE);Chã Grande;#N/D;0,599;0,603;0,803;0,443
Chalé (MG);(MG);Chalé;#N/D;0,655;0,636;0,787;0,561
Chapada da Natividade (TO);(TO);Chapada da Natividade;#N/D;0,62;0,59;0,814;0,497
Chapada de Areia (TO);(TO);Chapada de Areia;#N/D;0,619;0,619;0,726;0,529
Chapada do Norte (MG);(MG);Chapada do Norte;311610;0,598;0,571;0,798;0,469
Chapada dos Guimarães (MT);(MT);Chapada dos Guimarães;#N/D;0,688;0,677;0,833;0,578
Chapada Gaúcha (MG);(MG);Chapada Gaúcha;#N/D;0,635;0,573;0,82;0,546
Chapadão do Céu (GO);(GO);Chapadão do Céu;#N/D;0,742;0,748;0,837;0,652
Chapadão do Lageado (SC);(SC);Chapadão do Lageado;#N/D;0,704;0,68;0,833;0,616
Chapadão do Sul (MS);(MS);Chapadão do Sul;#N/D;0,754;0,758;0,85;0,665
Chapada (RS);(RS);Chapada;430530;0,757;0,752;0,849;0,679
Chapadinha (MA);(MA);Chapadinha;210320;0,604;0,554;0,77;0,517
Chapecó (SC);(SC);Chapecó;#N/D;0,79;0,779;0,871;0,727
Chã Preta (AL);(AL);Chã Preta;#N/D;0,575;0,537;0,737;0,481
Charqueada (SP);(SP);Charqueada;351170;0,736;0,72;0,82;0,675
Charqueadas (RS);(RS);Charqueadas;430535;0,747;0,726;0,87;0,659
Charrua (RS);(RS);Charrua;430537;0,62;0,699;0,885;0,385
Chaval (CE);(CE);Chaval;230390;0,586;0,524;0,716;0,536
Chavantes (SP);(SP);Chavantes;355720;0,729;0,713;0,828;0,655
Chaves (PA);(PA);Chaves;150250;0,453;0,516;0,769;0,234
Chiador (MG);(MG);Chiador;#N/D;0,711;0,742;0,868;0,559
Chiapetta (RS);(RS);Chiapetta;430540;0,732;0,702;0,85;0,657
Chopinzinho (PR);(PR);Chopinzinho;410540;0,74;0,74;0,817;0,671
Choró (CE);(CE);Choró;#N/D;0,585;0,493;0,778;0,523
Chorozinho (CE);(CE);Chorozinho;230395;0,604;0,57;0,742;0,522
Chorrochó (BA);(BA);Chorrochó;#N/D;0,6;0,552;0,779;0,503
Chuí (RS);(RS);Chuí;#N/D;0,706;0,676;0,792;0,658
Chupinguaia (RO);(RO);Chupinguaia;110092;0,652;0,659;0,82;0,514
Chuvisca (RS);(RS);Chuvisca;#N/D;0,616;0,655;0,818;0,437
Cianorte (PR);(PR);Cianorte;410550;0,755;0,747;0,841;0,685
Cícero Dantas (BA);(BA);Cícero Dantas;#N/D;0,585;0,59;0,712;0,477
Cidade Gaúcha (PR);(PR);Cidade Gaúcha;#N/D;0,718;0,712;0,805;0,645
Cidade Ocidental (GO);(GO);Cidade Ocidental;520549;0,717;0,706;0,814;0,641
Cidelândia (MA);(MA);Cidelândia;#N/D;0,6;0,562;0,728;0,529
Cidreira (RS);(RS);Cidreira;430545;0,729;0,73;0,848;0,625
Cipó (BA);(BA);Cipó;#N/D;0,601;0,589;0,744;0,496
Cipotânea (MG);(MG);Cipotânea;#N/D;0,579;0,592;0,75;0,437
Ciríaco (RS);(RS);Ciríaco;#N/D;0,719;0,724;0,855;0,6
Claraval (MG);(MG);Claraval;311640;0,698;0,687;0,848;0,584
Claro dos Poções (MG);(MG);Claro dos Poções;#N/D;0,67;0,601;0,799;0,625
Cláudia (MT);(MT);Cláudia;#N/D;0,699;0,719;0,809;0,586
Cláudio (MG);(MG);Cláudio;#N/D;0,709;0,701;0,846;0,602
Clementina (SP);(SP);Clementina;351190;0,725;0,704;0,821;0,66
Clevelândia (PR);(PR);Clevelândia;#N/D;0,694;0,718;0,813;0,573
Coaraci (BA);(BA);Coaraci;290800;0,613;0,615;0,762;0,491
Coari (AM);(AM);Coari;130120;0,586;0,606;0,78;0,425
Cocal de Telha (PI);(PI);Cocal de Telha;220271;0,555;0,55;0,78;0,399
Cocal dos Alves (PI);(PI);Cocal dos Alves;#N/D;0,498;0,504;0,779;0,315
Cocal do Sul (SC);(SC);Cocal do Sul;#N/D;0,78;0,747;0,859;0,74
Cocalinho (MT);(MT);Cocalinho;510310;0,66;0,674;0,807;0,528
Cocal (PI);(PI);Cocal;220270;0,497;0,516;0,712;0,334
Cocalzinho de Goiás (GO);(GO);Cocalzinho de Goiás;#N/D;0,657;0,648;0,826;0,531
Cocos (BA);(BA);Cocos;290810;0,596;0,558;0,805;0,471
Codajás (AM);(AM);Codajás;#N/D;0,563;0,546;0,775;0,421
Codó (MA);(MA);Codó;#N/D;0,595;0,568;0,754;0,492
Coelho Neto (MA);(MA);Coelho Neto;210340;0,564;0,544;0,728;0,454
Coimbra (MG);(MG);Coimbra;311670;0,669;0,649;0,825;0,558
Coité do Nóia (AL);(AL);Coité do Nóia;#N/D;0,533;0,52;0,73;0,398
Coivaras (PI);(PI);Coivaras;#N/D;0,565;0,543;0,732;0,453
Colares (PA);(PA);Colares;150260;0,602;0,541;0,763;0,528
Colatina (ES);(ES);Colatina;320150;0,746;0,738;0,841;0,668
Colíder (MT);(MT);Colíder;#N/D;0,713;0,732;0,819;0,604
Colinas do Sul (GO);(GO);Colinas do Sul;520552;0,658;0,633;0,82;0,549
Colinas do Tocantins (TO);(TO);Colinas do Tocantins;170550;0,701;0,69;0,814;0,614
Colinas (MA);(MA);Colinas;210350;0,596;0,571;0,709;0,524
Colina (SP);(SP);Colina;351200;0,757;0,72;0,845;0,712
Colinas (RS);(RS);Colinas;#N/D;0,765;0,786;0,84;0,678
Colméia (TO);(TO);Colméia;#N/D;0,671;0,645;0,816;0,574
Colniza (MT);(MT);Colniza;510325;0,611;0,633;0,815;0,443
Colômbia (SP);(SP);Colômbia;#N/D;0,71;0,689;0,802;0,647
Colombo (PR);(PR);Colombo;410580;0,733;0,715;0,87;0,632
Colônia do Gurguéia (PI);(PI);Colônia do Gurguéia;#N/D;0,628;0,578;0,778;0,55
Colônia do Piauí (PI);(PI);Colônia do Piauí;#N/D;0,588;0,57;0,772;0,462
Colônia Leopoldina (AL);(AL);Colônia Leopoldina;#N/D;0,517;0,548;0,693;0,363
Colorado do Oeste (RO);(RO);Colorado do Oeste;110006;0,685;0,676;0,814;0,584
Colorado (PR);(PR);Colorado;410590;0,73;0,747;0,804;0,649
Colorado (RS);(RS);Colorado;#N/D;0,758;0,775;0,835;0,674
Coluna (MG);(MG);Coluna;311680;0,583;0,59;0,782;0,43
Combinado (TO);(TO);Combinado;#N/D;0,697;0,649;0,815;0,639
Comendador Gomes (MG);(MG);Comendador Gomes;311690;0,697;0,703;0,85;0,566
Comendador Levy Gasparian (RJ);(RJ);Comendador Levy Gasparian;330095;0,685;0,676;0,785;0,605
Comercinho (MG);(MG);Comercinho;#N/D;0,593;0,566;0,797;0,462
Comodoro (MT);(MT);Comodoro;510330;0,689;0,687;0,84;0,567
Conceição da Aparecida (MG);(MG);Conceição da Aparecida;#N/D;0,691;0,688;0,847;0,566
Conceição da Barra de Minas (MG);(MG);Conceição da Barra de Minas;#N/D;0,685;0,668;0,815;0,59
Conceição da Barra (ES);(ES);Conceição da Barra;#N/D;0,681;0,648;0,81;0,603
Conceição da Feira (BA);(BA);Conceição da Feira;#N/D;0,634;0,606;0,766;0,548
Conceição das Alagoas (MG);(MG);Conceição das Alagoas;#N/D;0,712;0,734;0,862;0,57
Conceição das Pedras (MG);(MG);Conceição das Pedras;#N/D;0,668;0,642;0,821;0,566
Conceição de Ipanema (MG);(MG);Conceição de Ipanema;#N/D;0,676;0,664;0,825;0,565
Conceição de Macabu (RJ);(RJ);Conceição de Macabu;#N/D;0,712;0,698;0,806;0,642
Conceição do Almeida (BA);(BA);Conceição do Almeida;#N/D;0,606;0,578;0,805;0,479
Conceição do Araguaia (PA);(PA);Conceição do Araguaia;#N/D;0,64;0,631;0,77;0,54
Conceição do Canindé (PI);(PI);Conceição do Canindé;#N/D;0,589;0,559;0,759;0,482
Conceição do Castelo (ES);(ES);Conceição do Castelo;#N/D;0,67;0,685;0,81;0,541
Conceição do Coité (BA);(BA);Conceição do Coité;#N/D;0,611;0,587;0,752;0,517
Conceição do Jacuípe (BA);(BA);Conceição do Jacuípe;#N/D;0,663;0,63;0,799;0,579
Conceição do Lago-Açu (MA);(MA);Conceição do Lago-Açu;#N/D;0,512;0,492;0,738;0,37
Conceição do Mato Dentro (MG);(MG);Conceição do Mato Dentro;#N/D;0,634;0,622;0,794;0,517
Conceição do Pará (MG);(MG);Conceição do Pará;#N/D;0,7;0,687;0,85;0,588
Conceição do Rio Verde (MG);(MG);Conceição do Rio Verde;#N/D;0,665;0,675;0,834;0,522
Conceição dos Ouros (MG);(MG);Conceição dos Ouros;#N/D;0,703;0,668;0,842;0,618
Conceição do Tocantins (TO);(TO);Conceição do Tocantins;#N/D;0,592;0,588;0,739;0,478
Conceição (PB);(PB);Conceição;#N/D;0,592;0,577;0,754;0,476
Conchal (SP);(SP);Conchal;351220;0,708;0,699;0,827;0,614
Conchas (SP);(SP);Conchas;351230;0,736;0,725;0,837;0,658
Concórdia do Pará (PA);(PA);Concórdia do Pará;#N/D;0,566;0,56;0,741;0,438
Concórdia (SC);(SC);Concórdia;#N/D;0,8;0,777;0,872;0,756
